source_code,source,destination_code,destination,religious_background,count,source_population,rate_per_1000
N09000007,lisburn_castlereagh,N09000011,ards_north_down,protestant,346,86883,3.982367
N09000007,lisburn_castlereagh,N09000011,ards_north_down,other,3,2517,1.191895
N09000007,lisburn_castlereagh,N09000011,ards_north_down,none,286,19141,14.941748
N09000008,mid_east_antrim,N09000001,antrim_and_newtownabbey,catholic,113,27337,4.133592
N09000008,mid_east_antrim,N09000001,antrim_and_newtownabbey,protestant,338,93477,3.615863
N09000008,mid_east_antrim,N09000001,antrim_and_newtownabbey,other,16,1341,11.931394
N09000008,mid_east_antrim,N09000001,antrim_and_newtownabbey,none,246,16839,14.608944
N09000008,mid_east_antrim,N09000002,armagh_banbridge_craigavon,catholic,28,27337,1.024253
N09000008,mid_east_antrim,N09000002,armagh_banbridge_craigavon,protestant,60,93477,0.641869
N09000008,mid_east_antrim,N09000002,armagh_banbridge_craigavon,none,34,16839,2.019122
N09000008,mid_east_antrim,N09000003,belfast,catholic,163,27337,5.962615
N09000008,mid_east_antrim,N09000003,belfast,protestant,253,93477,2.706548
N09000008,mid_east_antrim,N09000003,belfast,other,13,1341,9.694258
N09000008,mid_east_antrim,N09000003,belfast,none,304,16839,18.053329
N09000008,mid_east_antrim,N09000004,causeway_coast_glens,catholic,109,27337,3.98727
N09000008,mid_east_antrim,N09000004,causeway_coast_glens,protestant,167,93477,1.786536
N09000008,mid_east_antrim,N09000004,causeway_coast_glens,other,6,1341,4.474273
N09000008,mid_east_antrim,N09000004,causeway_coast_glens,none,93,16839,5.522893
N09000008,mid_east_antrim,N09000005,derry_strabane,catholic,32,27337,1.170575
N09000008,mid_east_antrim,N09000005,derry_strabane,protestant,20,93477,0.213956
N09000008,mid_east_antrim,N09000005,derry_strabane,other,1,1341,0.745712
N09000008,mid_east_antrim,N09000005,derry_strabane,none,12,16839,0.712631
N09000008,mid_east_antrim,N09000006,fermanagh_omagh,catholic,4,27337,0.146322
N09000008,mid_east_antrim,N09000006,fermanagh_omagh,protestant,12,93477,0.128374
N09000008,mid_east_antrim,N09000006,fermanagh_omagh,other,3,1341,2.237136
N09000008,mid_east_antrim,N09000006,fermanagh_omagh,none,3,16839,0.178158
N09000008,mid_east_antrim,N09000007,lisburn_castlereagh,catholic,24,27337,0.877931
N09000008,mid_east_antrim,N09000007,lisburn_castlereagh,protestant,75,93477,0.802336
N09000008,mid_east_antrim,N09000007,lisburn_castlereagh,none,50,16839,2.969297
N09000008,mid_east_antrim,N09000009,mid_ulster,catholic,51,27337,1.865603
N09000008,mid_east_antrim,N09000009,mid_ulster,protestant,56,93477,0.599078
N09000008,mid_east_antrim,N09000009,mid_ulster,none,42,16839,2.49421
N09000008,mid_east_antrim,N09000010,newry_mourne_down,catholic,12,27337,0.438966
N09000008,mid_east_antrim,N09000010,newry_mourne_down,protestant,17,93477,0.181863
N09000008,mid_east_antrim,N09000010,newry_mourne_down,other,2,1341,1.491424
N09000008,mid_east_antrim,N09000010,newry_mourne_down,none,19,16839,1.128333
N09000008,mid_east_antrim,N09000011,ards_north_down,catholic,11,27337,0.402385
N09000008,mid_east_antrim,N09000011,ards_north_down,protestant,86,93477,0.920012
N09000008,mid_east_antrim,N09000011,ards_north_down,other,1,1341,0.745712
N09000008,mid_east_antrim,N09000011,ards_north_down,none,69,16839,4.097631
N09000009,mid_ulster,N09000001,antrim_and_newtownabbey,catholic,74,97298,0.76055
N09000009,mid_ulster,N09000001,antrim_and_newtownabbey,protestant,81,45421,1.783316
N09000009,mid_ulster,N09000001,antrim_and_newtownabbey,other,2,1013,1.974334
N09000009,mid_ulster,N09000001,antrim_and_newtownabbey,none,34,6561,5.182137
N09000009,mid_ulster,N09000002,armagh_banbridge_craigavon,catholic,204,97298,2.096652
N09000009,mid_ulster,N09000002,armagh_banbridge_craigavon,protestant,129,45421,2.840096
N09000009,mid_ulster,N09000002,armagh_banbridge_craigavon,other,5,1013,4.935834
N09000009,mid_ulster,N09000002,armagh_banbridge_craigavon,none,94,6561,14.327084
N09000009,mid_ulster,N09000003,belfast,catholic,405,97298,4.16247
N09000009,mid_ulster,N09000003,belfast,protestant,158,45421,3.478567
N09000009,mid_ulster,N09000003,belfast,other,13,1013,12.833169
N09000009,mid_ulster,N09000003,belfast,none,210,6561,32.007316
N09000009,mid_ulster,N09000004,causeway_coast_glens,catholic,110,97298,1.130547
N09000009,mid_ulster,N09000004,causeway_coast_glens,protestant,96,45421,2.11356
N09000009,mid_ulster,N09000004,causeway_coast_glens,other,1,1013,0.987167
